model_layer,pearson,kendall
DeepPavlov/rubert-base-cased_layer_0,0.43857273440362293,0.3213237163992217
DeepPavlov/rubert-base-cased_layer_1,0.4359909795727966,0.32058963980095534
DeepPavlov/rubert-base-cased_layer_2,0.4377288508486113,0.32195672550722537
DeepPavlov/rubert-base-cased_layer_3,0.429179348524609,0.3166974663783982
DeepPavlov/rubert-base-cased_layer_4,0.43958197537318655,0.32613839943228673
DeepPavlov/rubert-base-cased_layer_5,0.43832644429911793,0.3223105594547306
DeepPavlov/rubert-base-cased_layer_6,0.425435640848968,0.3125157924533368
DeepPavlov/rubert-base-cased_layer_7,0.41081438978411555,0.29945610311814513
DeepPavlov/rubert-base-cased_layer_8,0.3830272945217744,0.27788831568157857
DeepPavlov/rubert-base-cased_layer_9,0.3404793647029005,0.2394169155710139
DeepPavlov/rubert-base-cased_layer_10,0.24467319863077322,0.16075319569610938
DeepPavlov/rubert-base-cased_layer_11,0.18684692349117377,0.1178106211579791
ai-forever/ruBert-base_layer_0,0.4878775773773766,0.37442064990549534
ai-forever/ruBert-base_layer_1,0.4872056198119122,0.3734556482304812
ai-forever/ruBert-base_layer_2,0.481260952702552,0.3699333921166795
ai-forever/ruBert-base_layer_3,0.47528774716116623,0.36588038508162
ai-forever/ruBert-base_layer_4,0.4674660242290279,0.35790303790150296
ai-forever/ruBert-base_layer_5,0.4494015095292072,0.3447629317600601
ai-forever/ruBert-base_layer_6,0.4368246547004482,0.33535416542867197
ai-forever/ruBert-base_layer_7,0.44474958847198476,0.3427698130027194
ai-forever/ruBert-base_layer_8,0.4341486542828301,0.3308025741948552
ai-forever/ruBert-base_layer_9,0.43564162538719325,0.33054524041485145
ai-forever/ruBert-base_layer_10,0.42603370259789863,0.32296997726599025
ai-forever/ruBert-base_layer_11,0.4177943132403913,0.3110843733020658
ai-forever/ruBert-large_layer_0,0.46977111542893585,0.3647062997103528
ai-forever/ruBert-large_layer_1,0.4756932826215614,0.3658321349978693
ai-forever/ruBert-large_layer_2,0.47950674694832385,0.3702228926191838
ai-forever/ruBert-large_layer_3,0.4719658974459658,0.36723138742663985
ai-forever/ruBert-large_layer_4,0.46125510780148626,0.3602994587277881
ai-forever/ruBert-large_layer_5,0.454925217969432,0.35697020294898923
ai-forever/ruBert-large_layer_6,0.4519082200796717,0.3507781088676484
ai-forever/ruBert-large_layer_7,0.4385948193144934,0.33876383801372206
ai-forever/ruBert-large_layer_8,0.4278579991985092,0.32930682159858327
ai-forever/ruBert-large_layer_9,0.42933615308866024,0.32684606732729715
ai-forever/ruBert-large_layer_10,0.43212292963599275,0.3249160639772688
ai-forever/ruBert-large_layer_11,0.42798089878294554,0.3177428848596635
ai-forever/ruBert-large_layer_12,0.42466722707678606,0.3150087134471234
ai-forever/ruBert-large_layer_13,0.4324480643801869,0.32350072818724807
ai-forever/ruBert-large_layer_14,0.44052818189308096,0.3363191671036862
ai-forever/ruBert-large_layer_15,0.4347508283350451,0.33078649083360495
ai-forever/ruBert-large_layer_16,0.43614471250760123,0.33315074493738966
ai-forever/ruBert-large_layer_17,0.4296852327856773,0.3267817338822962
ai-forever/ruBert-large_layer_18,0.42756165490534614,0.32676565052104595
ai-forever/ruBert-large_layer_19,0.4214970794614132,0.32224622600972963
ai-forever/ruBert-large_layer_20,0.4202961830428458,0.32140989122471736
ai-forever/ruBert-large_layer_21,0.4272033348719,0.32731248480355396
ai-forever/ruBert-large_layer_22,0.4289037525882408,0.3295159052948363
ai-forever/ruBert-large_layer_23,0.4374407658383607,0.3410637586725058
ai-forever/ruRoberta-large_layer_0,0.3354896886900014,0.24634167796810022
ai-forever/ruRoberta-large_layer_1,0.33846154327936157,0.24808584728489116
ai-forever/ruRoberta-large_layer_2,0.35188536609318466,0.2589581994900507
ai-forever/ruRoberta-large_layer_3,0.3482968623999776,0.256047111103758
ai-forever/ruRoberta-large_layer_4,0.34823033346121957,0.256996029417522
ai-forever/ruRoberta-large_layer_5,0.3551693042018089,0.262657372577605
ai-forever/ruRoberta-large_layer_6,0.3724624475079498,0.2775988151790743
ai-forever/ruRoberta-large_layer_7,0.36562164324241864,0.2736583916727665
ai-forever/ruRoberta-large_layer_8,0.3667850546461979,0.2739318088140205
ai-forever/ruRoberta-large_layer_9,0.35231879105705627,0.2627377893838562
ai-forever/ruRoberta-large_layer_10,0.3363751908453067,0.25062701836242846
ai-forever/ruRoberta-large_layer_11,0.3117416007519802,0.23180948569965226
ai-forever/ruRoberta-large_layer_12,0.32053761168644446,0.23710091155097993
ai-forever/ruRoberta-large_layer_13,0.3141091947049822,0.2293334630070278
ai-forever/ruRoberta-large_layer_14,0.32666949319063304,0.23336957174092515
ai-forever/ruRoberta-large_layer_15,0.33078817915221065,0.2334339051859261
ai-forever/ruRoberta-large_layer_16,0.3268003611545872,0.2279977290833463
ai-forever/ruRoberta-large_layer_17,0.3306422898468465,0.23221156973090817
ai-forever/ruRoberta-large_layer_18,0.3144147786337147,0.21863721283570892
ai-forever/ruRoberta-large_layer_19,0.310534422434381,0.21665895940192992
ai-forever/ruRoberta-large_layer_20,0.30774115192776286,0.2163372921769252
ai-forever/ruRoberta-large_layer_21,0.2764258668068509,0.1906521642602982
ai-forever/ruRoberta-large_layer_22,0.25821852007730606,0.17857355996137095
ai-forever/ruRoberta-large_layer_23,0.24864979059125739,0.1722206322675277
ai-forever/ru-en-RoSBERTa_layer_0,0.3165113219479239,0.22723457690544863
ai-forever/ru-en-RoSBERTa_layer_1,0.32078262656375606,0.22844806319835295
ai-forever/ru-en-RoSBERTa_layer_2,0.3450965386791647,0.24771592997613576
ai-forever/ru-en-RoSBERTa_layer_3,0.34650685218320804,0.24956551651991288
ai-forever/ru-en-RoSBERTa_layer_4,0.3477936813187581,0.2513829363411896
ai-forever/ru-en-RoSBERTa_layer_5,0.3525513984831232,0.25514644287374477
ai-forever/ru-en-RoSBERTa_layer_6,0.3646206816453552,0.2656327944088987
ai-forever/ru-en-RoSBERTa_layer_7,0.36895877220776335,0.2687047164076938
ai-forever/ru-en-RoSBERTa_layer_8,0.3683765601930268,0.26735371406267394
ai-forever/ru-en-RoSBERTa_layer_9,0.36045093808507345,0.26371887442012065
ai-forever/ru-en-RoSBERTa_layer_10,0.35414599295423566,0.2598910344425644
ai-forever/ru-en-RoSBERTa_layer_11,0.3361539118631413,0.2467187615786211
ai-forever/ru-en-RoSBERTa_layer_12,0.354448693098526,0.2608560361175786
ai-forever/ru-en-RoSBERTa_layer_13,0.3669358157552713,0.26904246699394874
ai-forever/ru-en-RoSBERTa_layer_14,0.39482795175848556,0.28607474655794873
ai-forever/ru-en-RoSBERTa_layer_15,0.399014703003925,0.2876348325992216
ai-forever/ru-en-RoSBERTa_layer_16,0.4057947231867797,0.2939073434868137
ai-forever/ru-en-RoSBERTa_layer_17,0.4305388410071049,0.3136255443796031
ai-forever/ru-en-RoSBERTa_layer_18,0.43096741946876527,0.3151373803371253
