model_layer,pearson,kendall
DeepPavlov/rubert-base-cased_layer_0,0.29980375963865324,0.24146479093511897
DeepPavlov/rubert-base-cased_layer_1,0.31651792423738045,0.2522444691018654
DeepPavlov/rubert-base-cased_layer_2,0.3342916784338929,0.2716478898020089
DeepPavlov/rubert-base-cased_layer_3,0.35241909342755745,0.28889537486880307
DeepPavlov/rubert-base-cased_layer_4,0.36378919701715035,0.2926682622271643
DeepPavlov/rubert-base-cased_layer_5,0.36987174113144006,0.2953631817688509
DeepPavlov/rubert-base-cased_layer_6,0.3785254284820091,0.2926682622271643
DeepPavlov/rubert-base-cased_layer_7,0.38757852713920005,0.29644114958552553
DeepPavlov/rubert-base-cased_layer_8,0.3814934784111645,0.28134960015208055
DeepPavlov/rubert-base-cased_layer_9,0.3623776761214684,0.25709532427690124
DeepPavlov/rubert-base-cased_layer_10,0.35914735320350505,0.2743428093436954
DeepPavlov/rubert-base-cased_layer_11,0.29120049881792465,0.2592512599102505
ai-forever/ruBert-base_layer_0,0.32653819783121774,0.26410211508528636
ai-forever/ruBert-base_layer_1,0.3423598267025949,0.2732648415270208
ai-forever/ruBert-base_layer_2,0.36560151745466524,0.3007530208522241
ai-forever/ruBert-base_layer_3,0.36887070654028953,0.30129200476056145
ai-forever/ruBert-base_layer_4,0.36930478654800014,0.3034479403939107
ai-forever/ruBert-base_layer_5,0.35658927817522645,0.290512326593815
ai-forever/ruBert-base_layer_6,0.35146326874732237,0.2716478898020089
ai-forever/ruBert-base_layer_7,0.35963229421154874,0.280271632335406
ai-forever/ruBert-base_layer_8,0.3647837718818398,0.28512248751044184
ai-forever/ruBert-base_layer_9,0.3738466691525598,0.29644114958552553
ai-forever/ruBert-base_layer_10,0.3877263039823129,0.30290895648557337
ai-forever/ruBert-base_layer_11,0.3887767415226347,0.30129200476056145
ai-forever/ruBert-large_layer_0,0.331256333164974,0.2700309380769969
ai-forever/ruBert-large_layer_1,0.33834595165789627,0.2791936645187313
ai-forever/ruBert-large_layer_2,0.34989993940878394,0.2878174070521284
ai-forever/ruBert-large_layer_3,0.3524906888456621,0.2991360691272121
ai-forever/ruBert-large_layer_4,0.35368354988950196,0.28889537486880307
ai-forever/ruBert-large_layer_5,0.3649480308805877,0.30775981166060923
ai-forever/ruBert-large_layer_6,0.3701018083755995,0.3120716829273078
ai-forever/ruBert-large_layer_7,0.3587161274407602,0.2980581013105375
